CNPJ_CIA;DENOM_CIA;TICKER
19.796.586/0001-70;BRISANET PARTICIPAÇÕES SA;BRIT3.SA
19.853.511/0001-84;;NOME_AUSENTE
20.247.322/0001-47;ALLIED TECNOLOGIA SA;ALLD3.SA
20.258.278/0001-70;OUROFINO SA;OFSA3.SA
20.512.706/0001-40;VITRU BRASIL EMPREENDIMENTOS, PARTICIPAÇÕES E COMÉRCIO SA;NAO_ENCONTRADO
21.110.778/0001-23;OLIVEIRA TRUST SA;NAO_ENCONTRADO
21.240.146/0001-84;AGROGALAXY PARTICIPAÇÕES SA;AGXY3.SA
21.255.567/0001-89;CIA TECIDOS SANTANENSE;CTSA4.SA
21.314.559/0001-66;MOVIDA PARTICIPACOES SA;MOVI3.SA
21.389.501/0001-81;COMPASS GÁS E ENERGIA SA;NAO_ENCONTRADO
22.164.990/0001-36;;NOME_AUSENTE
22.543.331/0001-00;CAIXA SEGURIDADE PARTICIPAÇÕES SA;CXSE3.SA
22.677.520/0001-76;CIA TECIDOS NORTE DE MINAS COTEMINAS;CTNM4.SA
22.770.366/0001-82;;NOME_AUSENTE
23.041.875/0001-37;ALMACENES ÉXITO SA;EXCO32.SA
23.236.821/0001-27;PATRIMAR ENGENHARIA SA;PATR3.SA
23.373.000/0001-32;VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS SA;VAMO3.SA
23.438.929/0001-00;ALARES INTERNET PARTICIPAÇÕES S/A;NAO_ENCONTRADO
24.230.275/0001-80;PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO SA;PLPL3.SA
24.396.489/0001-20;BRK AMBIENTAL PARTICIPAÇÕES SA;NAO_ENCONTRADO
24.624.551/0001-94;ARGO ENERGIA EMPREENDIMENTOS E PARTICIPAÇÕES S/A;NAO_ENCONTRADO
24.921.465/0001-43;BLUEFIT ACADEMIAS DE GINÁSTICA E PARTICIPAÇÕES SA;NAO_ENCONTRADO
24.990.777/0001-09;GRUPO MATEUS SA;GMAT3.SA
25.249.439/0001-83;HOSPITAL CARE CALEDONIA SA;NAO_ENCONTRADO
25.329.319/0001-96;;NOME_AUSENTE
25.369.840/0001-57;COMERC ENERGIA SA;NAO_ENCONTRADO
26.345.998/0001-50;TC SA;TRAD3.SA
26.462.693/0001-28;LAVVI EMPREENDIMENTOS IMOBILIÁRIOS SA;LAVV3.SA
26.659.061/0001-59;MPM CORPÓREOS SA;ESPA3.SA
27.093.558/0001-15;MILLS LOCAÇÃO, SERVIÇOS E LOGÍSTICA SA;MILS3.SA
